がぞうを ほぞんしました。,Screenshot saved.
がぞうの ほぞんに しっぱいしました。,Failed to save screenshot.
キャンセル,Cancel
そうび,Equip
はずす,Remove
見る,Check
つかう,Use
せつめい,Details
すてる,Drop
全てすてる,Drop All
やめる,Cancel
レベル,Level
けいけんち,EXP
つぎのレベルに\nひつような けいけんち,EXP needed for next Level
HP,HP
さいだいHP,Max HP
こうげき,ATK
そうびによる\nじょうしょう,From Equipment
まもり,DEF
おかね,Gold
<mark>3</mark>のダメージをうけた。,Took <mark>3</mark> damage.
もどる,Back
G, G
ない,Exit
はい,Yes
いいえ,No
ゲームを おわりますか？\n(じゅうような イベントは セーブされます),Exit game?\n(Checkpoint data will be saved.)
数字をクリック！,Click the number!
Mission Failed,Mission Failed
Chapter 1 Cleared!,Chapter 1 Cleared!
Lv ,Lv: 
HP: ,HP: 
こうげき: ,ATK: 
まもり: ,DEF: 
おかね: ,Gold: 
たおしたてき: ,Enemies killed: 
たおしたにんげん: ,Humans killed: 
クリック または\nやじるしキーで いどう,Click or use the arrow keys to\nmove
クリック\nまたは やじるしキーで\nしらべる/はなしかける,Click or use the arrow\nkeys to check and talk
言語,Language
がめんかいぞうど,Resolution
640x360,640 x 360
960x540,960 x 540
1280x720,1280 x 720
がめんモード,Screen Mode
ウィンドウ,Windowed
フルスクリーン,Full-Screen
はじめる,Start
おわる,Exit
あそびかた,Instructions
やりなおし,Restart
